"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","74","37706  >  8554 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=4142934725 TSecr=0 WS=1024"
"2","0.000015","127.0.0.1","127.0.0.1","TCP","74","8554  >  37706 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=4142934725 TSecr=4142934725 WS=1024"
"3","0.000028","127.0.0.1","127.0.0.1","TCP","66","37706  >  8554 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=4142934725 TSecr=4142934725"
"4","0.000139","127.0.0.1","127.0.0.1","RTSP","145","OPTIONS rtsp://127.0.0.1:8554/ RTSP/1.0"
"5","0.000149","127.0.0.1","127.0.0.1","TCP","66","8554  >  37706 [ACK] Seq=1 Ack=80 Win=65536 Len=0 TSval=4142934725 TSecr=4142934725"
"6","0.020397","127.0.0.1","127.0.0.1","RTSP","191","Reply: RTSP/1.0 200 OK"
"7","0.020405","127.0.0.1","127.0.0.1","TCP","66","37706  >  8554 [ACK] Seq=80 Ack=126 Win=65536 Len=0 TSval=4142934746 TSecr=4142934746"
"8","0.020760","127.0.0.1","127.0.0.1","RTSP","171","DESCRIBE rtsp://127.0.0.1:8554/ RTSP/1.0"
"9","0.020765","127.0.0.1","127.0.0.1","TCP","66","8554  >  37706 [ACK] Seq=126 Ack=185 Win=65536 Len=0 TSval=4142934746 TSecr=4142934746"
"10","0.041092","127.0.0.1","127.0.0.1","TCP","266","8554  >  37706 [PSH, ACK] Seq=126 Ack=185 Win=65536 Len=200 TSval=4142934766 TSecr=4142934746 [TCP segment of a reassembled PDU]"
"11","0.041102","127.0.0.1","127.0.0.1","TCP","66","37706  >  8554 [ACK] Seq=185 Ack=326 Win=65536 Len=0 TSval=4142934766 TSecr=4142934766"
"12","0.041124","127.0.0.1","127.0.0.1","RTSP/SDP","744","Reply: RTSP/1.0 200 OK"
"13","0.041128","127.0.0.1","127.0.0.1","TCP","66","37706  >  8554 [ACK] Seq=185 Ack=1004 Win=65536 Len=0 TSval=4142934766 TSecr=4142934766"
"14","0.042114","127.0.0.1","127.0.0.1","RTSP","206","SETUP rtsp://127.0.0.1:8554/trackID=0 RTSP/1.0"
"15","0.042119","127.0.0.1","127.0.0.1","TCP","66","8554  >  37706 [ACK] Seq=1004 Ack=325 Win=65536 Len=0 TSval=4142934767 TSecr=4142934767"
"16","0.062543","127.0.0.1","127.0.0.1","RTSP","335","Reply: RTSP/1.0 200 OK"
"17","0.062552","127.0.0.1","127.0.0.1","TCP","66","37706  >  8554 [ACK] Seq=325 Ack=1273 Win=65536 Len=0 TSval=4142934788 TSecr=4142934788"
"18","0.063425","127.0.0.1","127.0.0.1","RTSP","233","SETUP rtsp://127.0.0.1:8554/trackID=1 RTSP/1.0"
"19","0.063431","127.0.0.1","127.0.0.1","TCP","66","8554  >  37706 [ACK] Seq=1273 Ack=492 Win=65536 Len=0 TSval=4142934789 TSecr=4142934789"
"20","0.083863","127.0.0.1","127.0.0.1","RTSP","335","Reply: RTSP/1.0 200 OK"
"21","0.084536","127.0.0.1","127.0.0.1","RTP","54","PT=ITU-T G.711 PCMU, SSRC=0x0, Seq=0, Time=0"
"22","0.084550","127.0.0.1","127.0.0.1","RTCP","50","Receiver Report   "
"23","0.084560","127.0.0.1","127.0.0.1","ICMP","78","Destination unreachable (Port unreachable)"
"24","0.084571","127.0.0.1","127.0.0.1","RTP","54","PT=ITU-T G.711 PCMU, SSRC=0x0, Seq=0, Time=0"
"25","0.084580","127.0.0.1","127.0.0.1","RTCP","50","Receiver Report   "
"26","0.084585","127.0.0.1","127.0.0.1","ICMP","78","Destination unreachable (Port unreachable)"
"27","0.084599","127.0.0.1","127.0.0.1","RTSP","188","PLAY rtsp://127.0.0.1:8554/ RTSP/1.0"
"28","0.084604","127.0.0.1","127.0.0.1","TCP","66","8554  >  37706 [ACK] Seq=1542 Ack=614 Win=65536 Len=0 TSval=4142934810 TSecr=4142934810"
"29","0.090978","127.0.0.1","127.0.0.1","RTP","333","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33319, Time=535131692, Mark"
"30","0.094074","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62733, Time=2319238554"
"31","0.104995","127.0.0.1","127.0.0.1","RTSP","396","Reply: RTSP/1.0 200 OK"
"32","0.105176","127.0.0.1","127.0.0.1","RTP","263","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62734, Time=2319238554, Mark"
"33","0.112915","127.0.0.1","127.0.0.1","RTP","321","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33320, Time=535132716, Mark"
"34","0.116302","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62735, Time=2319247554"
"35","0.122474","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62736, Time=2319247554"
"36","0.125829","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62737, Time=2319247554"
"37","0.130589","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62738, Time=2319247554"
"38","0.135355","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62739, Time=2319247554"
"39","0.136121","127.0.0.1","127.0.0.1","RTP","309","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33321, Time=535133740, Mark"
"40","0.140115","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62740, Time=2319247554"
"41","0.144877","127.0.0.1","127.0.0.1","RTP","838","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62741, Time=2319247554, Mark"
"42","0.145549","127.0.0.1","127.0.0.1","TCP","66","37706  >  8554 [ACK] Seq=614 Ack=1872 Win=65536 Len=0 TSval=4142934871 TSecr=4142934830"
"43","0.149633","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62742, Time=2319244554"
"44","0.159366","127.0.0.1","127.0.0.1","RTP","326","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33322, Time=535134764, Mark"
"45","0.160745","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62743, Time=2319244554"
"46","0.171848","127.0.0.1","127.0.0.1","RTP","282","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62744, Time=2319244554, Mark"
"47","0.183367","127.0.0.1","127.0.0.1","RTP","325","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33323, Time=535135788, Mark"
"48","0.183396","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62745, Time=2319253554"
"49","0.188763","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62746, Time=2319253554"
"50","0.192497","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62747, Time=2319253554"
"51","0.197257","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62748, Time=2319253554"
"52","0.202029","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62749, Time=2319253554"
"53","0.205792","127.0.0.1","127.0.0.1","RTP","330","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33324, Time=535136812, Mark"
"54","0.206784","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62750, Time=2319253554"
"55","0.211545","127.0.0.1","127.0.0.1","RTP","1242","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62751, Time=2319253554, Mark"
"56","0.216316","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62752, Time=2319250554"
"57","0.227421","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62753, Time=2319250554"
"58","0.229002","127.0.0.1","127.0.0.1","RTP","303","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33325, Time=535137836, Mark"
"59","0.238511","127.0.0.1","127.0.0.1","RTP","340","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62754, Time=2319250554, Mark"
"60","0.249649","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62755, Time=2319259554"
"61","0.252235","127.0.0.1","127.0.0.1","RTP","346","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33326, Time=535138860, Mark"
"62","0.255608","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62756, Time=2319259554"
"63","0.259163","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62757, Time=2319259554"
"64","0.263923","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62758, Time=2319259554"
"65","0.268689","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62759, Time=2319259554"
"66","0.273449","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62760, Time=2319259554"
"67","0.276033","127.0.0.1","127.0.0.1","RTP","364","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33327, Time=535139884, Mark"
"68","0.278226","127.0.0.1","127.0.0.1","RTP","1013","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62761, Time=2319259554, Mark"
"69","0.282967","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62762, Time=2319256554"
"70","0.294091","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62763, Time=2319256554"
"71","0.298662","127.0.0.1","127.0.0.1","RTP","325","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33328, Time=535140908, Mark"
"72","0.305176","127.0.0.1","127.0.0.1","RTP","199","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62764, Time=2319256554, Mark"
"73","0.316319","127.0.0.1","127.0.0.1","RTP","70","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62765, Time=2319262554"
"74","0.316362","127.0.0.1","127.0.0.1","RTP","58","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62766, Time=2319262554"
